essay0,income
********,100000
"********* warning (as of mar 11 2012) *********<br />
<br />
i don't like to play the field and i recently met someone.<br />
so while i'd still be happy to make friends i'm not available for
dating any more.<br />
<br />
*******************************************<br />
<br />
i recently moved to san francisco from paris france. i'm still
exploring the area but i totally fell in love with it. oh and i
like spongebob too.",100000
"***update: i'll be spending my time split between north lake tahoe
and sf this winter. i'd love to make some connections up in
tahoe***<br />
<br />
i've lived out in san francisco for almost 5 years now. i've met a
great group of friends and can't get enough of everything the bay
area has to offer.<br />
<br />
i am a new englander at heart though and may end up back there
someday.<br />
<br />
i stay healthy and in shape by playing soccer rock climbing
skiing surfing and occasionally running. i find it much more
interesting and exciting then the gym.",100000
"***update: so yes i am still single. i am the hardest chick to
date ever! seriously i am currently wandering around south
america. my goal colombia thru the southern tip of chili. thanks
for checking me out. msg me if you have been to or are going to any
of these countries. who knows maybe a first date in peru or
chile??***<br />
<br />
i'm from several places. ny fl &amp; dc. i was produced &amp; born
in ny (long island). my father grew up in the city. hearing his
stories of his childhood &amp; early adult years i cannot help to
feel i belong there whenever i visit.<br />
<br />
my grandparents moved south retirement: fl &amp; my parents
followed bringing me &amp; my brother for us to get to know our
grandparents they passed 3-4 years later. instead of moving back to
civilization my family remained in fl.<br />
<br />
primary years i attended a private catholic school. it was a great
education but the nuns were insane. the nuns tortured me &amp; i
found new ways to drive them crazy. it was as mutual agreement that
i needed to leave after 6th grade. you need to know this as i may
have a mini panic attack if too many nuns hop on the elevator w/ me
(you will need to wrap your strong arms around me for protection).
also i tend to be rebellious or overly sarcastic when there are
rigid illogical rules in place (singapore comes to mind but i
didn't bring any gum).<br />
<br />
for undergrad i went to ucf for business. in 2000 after
graduation the economy sucked so i decided to go straight into
grad school for my mba at fsu. you need to know that the seminoles
(not gators) are my team &amp; i may be ornery for a few minutes if
we don't win vs. gators or canes.<br />
<br />
2 days after graduation the u-haul was packed &amp; headed to the
dc area. i worked &amp; lived there for 5 years. the seasons were
great! however this was way too far inland and the people there
drove me nuts (it was during the w era). i could never get away
from politics which would not be bad if it was actually a
conversation. to counter the fox news that surrounded me i got my
news from the daily show &amp; colbert report. the siren of sf was
calling my name. but first i had to quit my job to travel for a
year through se asia and s india.<br />
<br />
yadda yadda yadda.i ended up in sf after my travels.",100000
"**question... does anyone have faith in the matching calculations
on here?**<br />
<br />
i'm an intelligent easy going affectionate gentleman who loves to
laugh and smile a lot (even though my profile picture doesn't show
it. lol). have an enjoyment of the arts in its myriad forms. i'm
mostly drawn to impressionist painting for the colors and sense of
movement. for music i have a great appreciation for the spectrum
and listen from classical to rock to jazz to instrumental. i do
love to explore and enjoy traveling. my favorite destination is
europe which i'm long overdue to go back. i love movies
particularly the classic black and whites. you can often find me at
the stanford theater watching movies such as singing in the rain or
casablanca.<br />
i'm attracted to women who are strong mind yet kind affectionate
and romantic. a woman who is strong yet feminine. she must have a
wicked sense of humour to match my own and loves to laugh often.",100000
"**update 6/1/12**<br />
<br />
was away for a bit in china for work and decided to stay a bit and
just enjoy the country... had to come back to the u.s. due to some
extreme problems with my condition. that aside it is nice to be
back. pretty much homebound for the moment so i'll be on a lot
more lol just looking for friends/penpals atm dating is too much
trouble right now :p<br />
<br />
well i thought i'd try this as it seems my social life is going
kaput due to the ever increasing size of a certain part of me... i
am sorry for being so blunt in my profile and with my pics but i
need to get this out there...<br />
<br />
i have a condition know as macrogenitosomia that's caused my
""little guy"" to grow and grow and grow... it's gotten to the point
that i can no longer conceal it and it's put an obvious strain on
any potential relationship...<br />
<br />
i'm not trying to gross anyone out just looking for someone that i
can be with... i'm looking for a ltr ultimately but friends are
always good too! and as you can imagine sex can be... a little fun
lol... most girls usually freak... i guess i'm looking for someone
more curios and open-minded...<br />
<br />
i have pictures that show just what i'm dealing with with my my
problem message me if you'd like to see. okc seems to keep taking
mine down...<br />
<br />
i am funny smart and growing :(",100000
"**update june 2012 - in a relationship with <a class=""plink"" href=
""/profile/mimoue"">mimoue</a>**<br />
<br />
born in hong kong raised in la and falling in love with the bay
area more each day. i love the people culture and of course great
weather for enjoy outdoor activity. i enjoy all california has to
offer while appreciating my cultural ties to hong kong.<br />
<br />
quality of life is very important to me. this means eating good
food taking care of my body volunteering working hard laughing
a lot and surrounding myself with interesting people doing cool
stuff with their lives.<br />
<br />
i have been in martial artis since age 12 starting with hapkido
then moving thru tae kwon do okinawa-te jiu jitsu and now kuk
sool won. on weekends i enjoy surfing at half moon bay / ocean
beach / bolinas hiking in tilden park and running near lake
chabot<br />
<br />
what would be a perfect sunday? it would be running along the
beach hiking to a hot spring hiking back to the camping spot then
cooking over the campfire and drinking a belgium brew in a hammock
to end the day with a who knows more constellations contest.<br />
<br />
currently pursuing my own startup my professional interests
include sustainable building web development environmental issues
and volunteering. it is rewarding to collaborate or volunteer my
time to help others and the environment.<br />
<br />
my friends and family would describe me as passionate confident
driven fun respectful trustworthy honest and reliable. my
co-workers would describe me as a lifetime learner and someone who
continues to thrive and find the next challenge. i have
accomplished major goals in my life and still have many to go.",100000
"*just moved to northern california.*<br />
<br />
non-broke semi-successful sane guy. i've been a ny'er for 20
years and love the city's vibe and hidden spaces. i enjoy depth in
my environment and those around me and i enjoy understanding what
motivates people and where that takes them. my highest compliment
is 'interesting'.<br />
<br />
i am optimistic inquisitive and amused",100000
"*update<br />
this was a little bit out of date. so i've added more about my
life.<br />
<br />
i'm a <a class=""ilink"" href=""/interests?i=chilean"">chilean</a> guy
that had a dream to enjoy the world. that dream brought me to the
united states of america in order to use my creativity at its full
extent and pursue a master's degree at <a class=""ilink"" href=
""/interests?i=carnegie+mellon+university"">carnegie mellon
university</a>. i've been here in the usa for 4 years and i love
it. i've been discovering new ways to enjoy life having fun
meeting people making relationships and friendships better and
acting like everyday is my last day on earth.<br />
i am here because i'm looking for an adventure buddy. someone who
wants to do crazy things like skydiving going to a fun concert
and dancing till our bodies give up or just sitting down and
watching a movie in my couch.",100000
"*you are honest drama free hardworking family orientated career
minded drama free and ready for a serious relationship. (dating
girlfriend fianceenot necessary in that order) if you are
somewhat athletic*(hiking cycling surfing inline skating yoga
modeling or snowboarding) this is a definite plus. can you help
prune the vines in the vineyard and then be dressed *(within a
hour) for a dinner ballet museum or a show? you are gorgeous low
maintenance (i stress low maintenance-if your makeup bag is larger
that your purse or handbag----thanks for reading to this point!!!!
you might want to consider someone else..-------been there!!! done
that!!!.and by virtue of who you are you think regularly outside
the box and you know that starbucks is not the only place to stop
for your morning coffee or your internet fix....<br />
peace",100000
.,100000
". have a good job and like to have fun. i am<br />
very nice and easy going and i think fun to be around. love
to<br />
see live music and play ultimate frisbee",100000
". im a hardworking man that believes in god strongly. i first put
something real nice and positive about myself but the real truth
is im an asshole and i dont take an shit from anyone for any
reason. i go after what i desire because failure to me is not an
option i dont get hung up on what people think about me because i
could care less. i love life success being in great shape and
laughing my ass off thats me in a nut shell rapped in a anigma.",100000
"....................................................................................................<br />

<br />
howdy. right now i'm living in suburban palo alto and spending my
days and working at a website. i like to <a class=""ilink"" href=
""/interests?i=code"">code</a> <a class=""ilink"" href=
""/interests?i=read"">read</a> <a class=""ilink"" href=
""/interests?i=discuss+ideas"">discuss ideas</a> and watch a little
<a class=""ilink"" href=""/interests?i=baseball"">baseball</a> from
time to time. i play <a class=""ilink"" href=
""/interests?i=ultimate+frisbee"">ultimate frisbee</a> and <a class=
""ilink"" href=""/interests?i=basketball"">basketball</a> when i
can.<br />
<br />
....................................................................................................<br />

<br />
i am thoughtful focused and ascetic",100000
"...i tend to prefer the road less traveled by. you can usually find
me riding my road bike along canada road and around palo alto
marin and sf. i enjoy hanging out at various cafes and dining out
at interesting restaurants. i also enjoy cooking (especially for
two) stimulating conversation learning new things hiking and
traveling. i have had the opportunity to travel quite a bit (i've
managed to get to just about every continent). every trip is way
too short but it always feels good to be back home. i'm looking
for someone with whom to share dining out good conversation
travel and new adventures a good bottle of wine films with
subtitles and a bit of fun. i admire women with intelligence and a
bit of independence who understands that it is not my 'job' to take
out the trash or wash the dishes -- but i will gladly perform those
tasks as my part of contribution to the overall effort. i'm looking
for someone who understands that none of us have all the answers
and has a sense of humor about life. most of all i'm looking for
someone who values love laughter life honesty and respect. note
that i tend to be attracted to women with an artistic side as that
tends to compliment my more analytical nature.",100000
"[12/26/10] quick year in review: paris 3x learned to sail in
greece and moved to russian hill - sf. it was a good year. :)<br />
<br />
i love a good meal...<br />
a long conversation...<br />
a slow dance...<br />
and a quick laugh.<br />
<br />
i think <a class=""ilink"" href=""/interests?i=video+games"">video
games</a> will save the world. you just need to practice. a
lot.<br />
<br />
i want to play. you should join me.<br />
<br />
i am <a class=""ilink"" href=""/interests?i=hapa"">hapa</a> i am l33t
and i am chaotic good",100000
[a roguish gentleman],100000
"[discussing the fate of a fitting summary]<br />
maj. eaton: we have top men working on it now.<br />
indiana jones: who?<br />
maj. eaton: top... men.",100000
"[insert incredibly witty comment here]<br />
<br />
love my job but when saturday hits you'll find me in the
mountains. i'd love to recruit a fellow adventurer who enjoys
hiking running mountain biking climbing etc. (or is up for
trying them).<br />
<br />
big fan of spontaneous adventures. if going to the airport on a
friday night to jump on the cheapest flight for the weekend sounds
exciting to you we'll get along just great.<br />
<br />
i'm extraordinarily lucky have a incredible set of family and
friends who i continue to accumulate incredible experiences with.
shoot a note over it you're interested in joining the fun.",100000
"[insert rambling block of text with depressing
misspelling-to-cognitive-thought ratio and criminally gratuitous
use of capital letters here]<br />
<br />
i'm a fan of novelty a responsible hedonist and at heart a night
person.<br />
<br />
i just moved here in december after almost 2 1/2 years in boston
working for a mega-corp and i'm psyched to now be working for a
cool startup and to be back in the bay area (was here getting my
master's from stanford in electrical engineering previously).
though i live in san francisco i work in downtown palo alto.
before stanford i've lived in middle tennessee and southern
california.",100000
"[this is a cut-n-paste job from another site so my answers don't
always exactly match the sections titles...i will be updating this
when i get a chance!]<br />
<br />
i'm a swm living in the east bay (berkeley area). i'm looking to
meet a woman in the east bay area for the usual type of things:
movies dinners bike rides and just hanging out.<br />
<br />
i was born in manhattan lived in brooklyn for 18 months (so i'm
told) but grew up in central new jersey (exit 7a). i came to the
bay area in 1990 (via college in pittsburgh pa) and have a group
of close friends in the area that are heavily involved in my life.
we get together often but as people settle down it seems harder
and harder to find someone to do things with! so ideally i'd like
to meet someone who has enough flexibility in their life that they
could go away for a weekend once in a while or take a 2-3 week
vacation once a year and do some traveling. i have a good job (the
same one for 20+ yrs!) and i get a lot of vacation time and i
would like to start using it to travel the world more.",100000
"<a class=""ilink"" href=""/interests?i=tl%3bdr"">tl;dr</a>: i'm super
tall dislike dogs love providing for my friends and would love
to leave the usa for good (eventually; not in a rush!); looking for
a tall thin woman who loves letting her feminine side shine.<br />
<br />
to be clear i don't need her to dislike dogs i want to not live
with (or preferably near) dogs.<br />
<br />
i'm originally from western ny (i love <a class=""ilink"" href=
""/interests?i=driving+in+the+snow"">driving in the snow</a>) lived
in ny fl back to ny and now ca. some people have told me i have
a strong accent which i consider a compliment.<br />
<br />
have driven across the country a few times. turns out the bay area
seems to be the place for me right now.<br />
<br />
i hurry across intersections rather than make any car slow down. i
try to get in nobody's way when driving and when walking. i
appreciate everyone who sees that i'm paying attention and works
with me.<br />
<br />
i say ""<a class=""ilink"" href=
""/interests?i=driving+a+motorcycle"">driving a motorcycle</a>""
instead of ""riding"". this is an active choice and i'm ok with other
people disagreeing with me no matter how much.<br />
<br />
my hair is a little longer than the pictures show and the ring is
gone (oops i guess in other words i just need to put up a new
picture)<br />
<br />
i really enjoy shopping for clothes for my girlfriend. it's a real
treat for me to buy her something <a class=""ilink"" href=
""/interests?i=we+both+like"">we both like</a> and then see her wear
it.<br />
<br />
i don't like women in moustaches. i actually dislike it. i don't
fancy drag either but i'm ok with it and can enjoy others pulling
it off well -- even if it is just a friend of a friend doing their
show or something i gladly support that.<br />
<br />
i don't like myself in moustaches either. my dad has refused to
shave his moustache his entire life and he didn't give me a good
reason and i think that's <a class=""ilink"" href=
""/interests?i=suboptimal"">suboptimal</a>. i can't really grow a
beard even if i tried. when i was like 15 my dad told me to wait
until i was 30. well i'm past 30 and it still ain't happenin'. i
get hurty stubble after like 2 days but after a year i don't have
anything more substantial than the one picture of me at the german
restaurant for lunch in my motorcycle jacket. it's kind of
annoying and for any lady who is like ""please always never have
facial hair"" i'm completely glad to fulfill that request each day.",100000
"<a class=""plink"" href=""/profile/bbootylicious"">bbootylicious</a>
and i live together &amp; have an open relationship always looking
for kinky/crafty/cute people to kick it with ^___^ crazy active
blogging check out bitchkitchen disgusttrust epoocurious &amp;
starpause on tumblr!<br />
<br />
besides all that... i make music using gameboys as synthesizers and
psps as samplers. i run a music label that licenses all it's
releases under the creative commons and distributes stems for easy
remixing.<br />
<br />
i've got a bunch of other creative outlets too... like haiku
zines papercraft cooking massage dancing and photography.<br />
<br />
i'm a project magnet so there's always something (or a few things)
that i should be doing but i've learned to prioritize leisure when
i need it. i go with the flow more than i chase goals.<br />
<br />
my euclidean drum machine wag erg is live on the blackberry
android and itunes stores. free if you're into abstract electronic
music toys!<br />
<br />
my favorite season is fall and and rainy days rile up some romance
<br />
<br />
<em>i am open source kinky and organic...</em>",100000
"<em>funny dependable hardworking smart</em><br />
<br />
i'm a full time web developer and tech entrepreneur and part-time
<strong>yoga teacher</strong>. i'm almost 6' tall and have an
athletic body type. i try to eat healthy by following <a class=
""ilink"" href=""/interests?i=paleo"">paleo</a> and <a class=""ilink""
href=""/interests?i=primal"">primal</a> guidelines. sorry vegetarian
folks! i don't drink or smoke or do drugs. i have successful
career car my own place etc.<br />
<br />
i lived for 7 years in <strong>washington dc</strong> area before
moving to the bay area a few months ago.<br />
<br />
nevertheless i'm always up for adventures. as somebody wise said
""take risks and enjoy life"". among other things i like sightseeing
<a class=""ilink"" href=""/interests?i=travel"">travel</a> <a class=
""ilink"" href=""/interests?i=food"">food</a> - <a class=""ilink"" href=
""/interests?i=cooking"">cooking</a> and <a class=""ilink"" href=
""/interests?i=dinning+out"">dinning out</a> and participating in
sports and intellectual activities.",100000
"<em>seeking self-actualization</em><br />
<br />
do not be too moral. you may cheat yourself out of much life. aim
above morality. be not simply good; be good for something. --henry
david thoreau",100000
"<p>i know what it's like to be a god. i'm not a god but i have job
experience in the field. i'm a <a class=""ilink"" href=
""/interests?i=programmer"">programmer</a> and a <a class=""ilink""
href=""/interests?i=3d+modeller"">3d modeller</a>. i make imaginary
stuff and people buy copies of it with real money so they can use
the imaginary stuff to make real pictures of imaginary people doing
imaginary things. in other words i design content for curious
labs' <a class=""ilink"" href=""/interests?i=poser"">poser</a> program.
you can see that stuff at http://www.xfx3d.net</p>
<p>the thing that sets me apart from many imaginary stuff makers is
that my stuff looks less imaginary than most which makes people
able to make pictures that looker realer than most.</p>
<br />
<br />
<p>i am also a master of disguise with a lot of time and other
sticky things on my hands. as a result some people have decided
i'm a <a class=""ilink"" href=""/interests?i=goth"">goth</a> a
<a class=""ilink"" href=""/interests?i=gutterpunk"">gutterpunk</a>
and/or a <a class=""ilink"" href=""/interests?i=geek"">geek</a>. in
reality however i am a <a class=""ilink"" href=
""/interests?i=guttergothgeek"">guttergothgeek</a>. however lately i
just dress normal.</p>
<br />
<br />
i am weird curmudgeonly and creative fucker",100000
"<p>i'm a <a class=""ilink"" href=""/interests?i=hacker"">hacker</a>
<a class=""ilink"" href=""/interests?i=psychonaut"">psychonaut</a>
<a class=""ilink"" href=""/interests?i=burner"">burner</a> child of
nuclear gypsies gregarious <a class=""ilink"" href=
""/interests?i=goth"">goth</a> strict follower of the religious
teachings of <a class=""ilink"" href=
""/interests?i=joseph+michael+straczynski"">joseph michael
straczynski</a> wannabe <a class=""ilink"" href=
""/interests?i=raver"">raver</a> kid and i look <a class=""ilink""
href=""/interests?i=dashing+in+a+suit"">dashing in a suit</a></p>
<br />
<br />
<p>i spin and breathe <a class=""ilink"" href=
""/interests?i=fire"">fire</a>. i make <a class=""ilink"" href=
""/interests?i=art"">art</a> and <a class=""ilink"" href=
""/interests?i=tech"">tech</a> at <a class=""ilink"" href=
""/interests?i=noisebridge"">noisebridge</a> and <a class=""ilink""
href=""/interests?i=ace+monster+toys"">ace monster toys</a>. i'm a
sucker for <a class=""ilink"" href=
""/interests?i=engineering"">engineering</a> <a class=""ilink"" href=
""/interests?i=porn"">porn</a>.</p>
<br />
<br />
<p>i <a class=""ilink"" href=""/interests?i=overuse"">overuse</a>
<a class=""ilink"" href=""/interests?i=tags"">tags</a> in my <a class=
""ilink"" href=""/interests?i=profile"">profile</a>.</p>
<br />
<br />
<p>i'm only a little <a class=""ilink"" href=
""/interests?i=full+of+myself"">full of myself</a>.</p>
<br />
<br />
<p>i'm <a class=""ilink"" href=
""/interests?i=polyphilic"">polyphilic</a> <a class=""ilink"" href=
""/interests?i=predominantly+heterosexual+but+more+than%0aincidentally+homosexual"">
predominantly heterosexual but more than incidentally
homosexual</a> and often get in trouble when staring at the
<a class=""ilink"" href=""/interests?i=stars"">stars</a> when i should
be paying attention to the road.</p>
<br />
<br />
<p>i fall in love with <a class=""ilink"" href=
""/interests?i=kinky"">kinky</a> <a class=""ilink"" href=
""/interests?i=girls"">girls</a> am a sucker for the <a class=
""ilink"" href=""/interests?i=genderfucked"">genderfucked</a> and am
enamored with my own <a class=""ilink"" href=
""/interests?i=masculinity"">masculinity</a>.</p>
<br />
<br />
<p>i'm currently seeing a fantastic girl you'd love her. =]</p>",100000
